Date	14c	Ar39	CFC11	CFC12	CFC113	SF6	tritium	85Kr
1308.8	100	100	0	0	0	0	1.5	0
1308.9	100	100	0	0	0	0	1.5	0
1309	100	100	0	0	0	0	1.5	0
1309.1	100	100	0	0	0	0	1.5	0
1309.2	100	100	0	0	0	0	1.5	0
1309.3	100	100	0	0	0	0	1.5	0
1309.4	100	100	0	0	0	0	1.5	0
1309.5	100	100	0	0	0	0	1.5	0
1309.6	100	100	0	0	0	0	1.5	0
1309.7	100	100	0	0	0	0	1.5	0
1309.8	100	100	0	0	0	0	1.5	0
1309.9	100	100	0	0	0	0	1.5	0
1310	100	100	0	0	0	0	1.5	0
1310.1	100	100	0	0	0	0	1.5	0
1310.2	100	100	0	0	0	0	1.5	0
1310.3	100	100	0	0	0	0	1.5	0
1310.4	100	100	0	0	0	0	1.5	0
1310.5	100	100	0	0	0	0	1.5	0
1310.6	100	100	0	0	0	0	1.5	0
1310.7	100	100	0	0	0	0	1.5	0
1310.8	100	100	0	0	0	0	1.5	0
1310.9	100	100	0	0	0	0	1.5	0
1311	100	100	0	0	0	0	1.5	0
1311.1	100	100	0	0	0	0	1.5	0
1311.2	100	100	0	0	0	0	1.5	0
1311.3	100	100	0	0	0	0	1.5	0
1311.4	100	100	0	0	0	0	1.5	0
1311.5	100	100	0	0	0	0	1.5	0
1311.6	100	100	0	0	0	0	1.5	0
1311.7	100	100	0	0	0	0	1.5	0
1311.8	100	100	0	0	0	0	1.5	0
1311.9	100	100	0	0	0	0	1.5	0
1312	100	100	0	0	0	0	1.5	0
1312.1	100	100	0	0	0	0	1.5	0
1312.2	100	100	0	0	0	0	1.5	0
1312.3	100	100	0	0	0	0	1.5	0
1312.4	100	100	0	0	0	0	1.5	0
1312.5	100	100	0	0	0	0	1.5	0
1312.6	100	100	0	0	0	0	1.5	0
1312.7	100	100	0	0	0	0	1.5	0
1312.8	100	100	0	0	0	0	1.5	0
1312.9	100	100	0	0	0	0	1.5	0
1313	100	100	0	0	0	0	1.5	0
1313.1	100	100	0	0	0	0	1.5	0
1313.2	100	100	0	0	0	0	1.5	0
1313.3	100	100	0	0	0	0	1.5	0
1313.4	100	100	0	0	0	0	1.5	0
1313.5	100	100	0	0	0	0	1.5	0
1313.6	100	100	0	0	0	0	1.5	0
1313.7	100	100	0	0	0	0	1.5	0
1313.8	100	100	0	0	0	0	1.5	0
1313.9	100	100	0	0	0	0	1.5	0
1314	100	100	0	0	0	0	1.5	0
1314.1	100	100	0	0	0	0	1.5	0
1314.2	100	100	0	0	0	0	1.5	0
1314.3	100	100	0	0	0	0	1.5	0
1314.4	100	100	0	0	0	0	1.5	0
1314.5	100	100	0	0	0	0	1.5	0
1314.6	100	100	0	0	0	0	1.5	0
1314.7	100	100	0	0	0	0	1.5	0
1314.8	100	100	0	0	0	0	1.5	0
1314.9	100	100	0	0	0	0	1.5	0
1315	100	100	0	0	0	0	1.5	0
1315.1	100	100	0	0	0	0	1.5	0
1315.2	100	100	0	0	0	0	1.5	0
1315.3	100	100	0	0	0	0	1.5	0
1315.4	100	100	0	0	0	0	1.5	0
1315.5	100	100	0	0	0	0	1.5	0
1315.6	100	100	0	0	0	0	1.5	0
1315.7	100	100	0	0	0	0	1.5	0
1315.8	100	100	0	0	0	0	1.5	0
1315.9	100	100	0	0	0	0	1.5	0
1316	100	100	0	0	0	0	1.5	0
1316.1	100	100	0	0	0	0	1.5	0
1316.2	100	100	0	0	0	0	1.5	0
1316.3	100	100	0	0	0	0	1.5	0
1316.4	100	100	0	0	0	0	1.5	0
1316.5	100	100	0	0	0	0	1.5	0
1316.6	100	100	0	0	0	0	1.5	0
1316.7	100	100	0	0	0	0	1.5	0
1316.8	100	100	0	0	0	0	1.5	0
1316.9	100	100	0	0	0	0	1.5	0
1317	100	100	0	0	0	0	1.5	0
1317.1	100	100	0	0	0	0	1.5	0
1317.2	100	100	0	0	0	0	1.5	0
1317.3	100	100	0	0	0	0	1.5	0
1317.4	100	100	0	0	0	0	1.5	0
1317.5	100	100	0	0	0	0	1.5	0
1317.6	100	100	0	0	0	0	1.5	0
1317.7	100	100	0	0	0	0	1.5	0
1317.8	100	100	0	0	0	0	1.5	0
1317.9	100	100	0	0	0	0	1.5	0
1318	100	100	0	0	0	0	1.5	0
1318.1	100	100	0	0	0	0	1.5	0
1318.2	100	100	0	0	0	0	1.5	0
1318.3	100	100	0	0	0	0	1.5	0
1318.4	100	100	0	0	0	0	1.5	0
1318.5	100	100	0	0	0	0	1.5	0
1318.6	100	100	0	0	0	0	1.5	0
1318.7	100	100	0	0	0	0	1.5	0
1318.8	100	100	0	0	0	0	1.5	0
1318.9	100	100	0	0	0	0	1.5	0
1319	100	100	0	0	0	0	1.5	0
1319.1	100	100	0	0	0	0	1.5	0
1319.2	100	100	0	0	0	0	1.5	0
1319.3	100	100	0	0	0	0	1.5	0
1319.4	100	100	0	0	0	0	1.5	0
1319.5	100	100	0	0	0	0	1.5	0
1319.6	100	100	0	0	0	0	1.5	0
1319.7	100	100	0	0	0	0	1.5	0
1319.8	100	100	0	0	0	0	1.5	0
1319.9	100	100	0	0	0	0	1.5	0
1320	100	100	0	0	0	0	1.5	0
1320.1	100	100	0	0	0	0	1.5	0
1320.2	100	100	0	0	0	0	1.5	0
1320.3	100	100	0	0	0	0	1.5	0
1320.4	100	100	0	0	0	0	1.5	0
1320.5	100	100	0	0	0	0	1.5	0
1320.6	100	100	0	0	0	0	1.5	0
1320.7	100	100	0	0	0	0	1.5	0
1320.8	100	100	0	0	0	0	1.5	0
1320.9	100	100	0	0	0	0	1.5	0
1321	100	100	0	0	0	0	1.5	0
1321.1	100	100	0	0	0	0	1.5	0
1321.2	100	100	0	0	0	0	1.5	0
1321.3	100	100	0	0	0	0	1.5	0
1321.4	100	100	0	0	0	0	1.5	0
1321.5	100	100	0	0	0	0	1.5	0
1321.6	100	100	0	0	0	0	1.5	0
1321.7	100	100	0	0	0	0	1.5	0
1321.8	100	100	0	0	0	0	1.5	0
1321.9	100	100	0	0	0	0	1.5	0
1322	100	100	0	0	0	0	1.5	0
1322.1	100	100	0	0	0	0	1.5	0
1322.2	100	100	0	0	0	0	1.5	0
1322.3	100	100	0	0	0	0	1.5	0
1322.4	100	100	0	0	0	0	1.5	0
1322.5	100	100	0	0	0	0	1.5	0
1322.6	100	100	0	0	0	0	1.5	0
1322.7	100	100	0	0	0	0	1.5	0
1322.8	100	100	0	0	0	0	1.5	0
1322.9	100	100	0	0	0	0	1.5	0
1323	100	100	0	0	0	0	1.5	0
1323.1	100	100	0	0	0	0	1.5	0
1323.2	100	100	0	0	0	0	1.5	0
1323.3	100	100	0	0	0	0	1.5	0
1323.4	100	100	0	0	0	0	1.5	0
1323.5	100	100	0	0	0	0	1.5	0
1323.6	100	100	0	0	0	0	1.5	0
1323.7	100	100	0	0	0	0	1.5	0
1323.8	100	100	0	0	0	0	1.5	0
1323.9	100	100	0	0	0	0	1.5	0
1324	100	100	0	0	0	0	1.5	0
1324.1	100	100	0	0	0	0	1.5	0
1324.2	100	100	0	0	0	0	1.5	0
1324.3	100	100	0	0	0	0	1.5	0
1324.4	100	100	0	0	0	0	1.5	0
1324.5	100	100	0	0	0	0	1.5	0
1324.6	100	100	0	0	0	0	1.5	0
1324.7	100	100	0	0	0	0	1.5	0
1324.8	100	100	0	0	0	0	1.5	0
1324.9	100	100	0	0	0	0	1.5	0
1325	100	100	0	0	0	0	1.5	0
1325.1	100	100	0	0	0	0	1.5	0
1325.2	100	100	0	0	0	0	1.5	0
1325.3	100	100	0	0	0	0	1.5	0
1325.4	100	100	0	0	0	0	1.5	0
1325.5	100	100	0	0	0	0	1.5	0
1325.6	100	100	0	0	0	0	1.5	0
1325.7	100	100	0	0	0	0	1.5	0
1325.8	100	100	0	0	0	0	1.5	0
1325.9	100	100	0	0	0	0	1.5	0
1326	100	100	0	0	0	0	1.5	0
1326.1	100	100	0	0	0	0	1.5	0
1326.2	100	100	0	0	0	0	1.5	0
1326.3	100	100	0	0	0	0	1.5	0
1326.4	100	100	0	0	0	0	1.5	0
1326.5	100	100	0	0	0	0	1.5	0
1326.6	100	100	0	0	0	0	1.5	0
1326.7	100	100	0	0	0	0	1.5	0
1326.8	100	100	0	0	0	0	1.5	0
1326.9	100	100	0	0	0	0	1.5	0
1327	100	100	0	0	0	0	1.5	0
1327.1	100	100	0	0	0	0	1.5	0
1327.2	100	100	0	0	0	0	1.5	0
1327.3	100	100	0	0	0	0	1.5	0
1327.4	100	100	0	0	0	0	1.5	0
1327.5	100	100	0	0	0	0	1.5	0
1327.6	100	100	0	0	0	0	1.5	0
1327.7	100	100	0	0	0	0	1.5	0
1327.8	100	100	0	0	0	0	1.5	0
1327.9	100	100	0	0	0	0	1.5	0
1328	100	100	0	0	0	0	1.5	0
1328.1	100	100	0	0	0	0	1.5	0
1328.2	100	100	0	0	0	0	1.5	0
1328.3	100	100	0	0	0	0	1.5	0
1328.4	100	100	0	0	0	0	1.5	0
1328.5	100	100	0	0	0	0	1.5	0
1328.6	100	100	0	0	0	0	1.5	0
1328.7	100	100	0	0	0	0	1.5	0
1328.8	100	100	0	0	0	0	1.5	0
